"and i do n't want to be able to be able to be able to help them . </s> .
","freunde hätten das land verlassen müssen , wenn sie mit ihm hätten schluss machen wollen .
",19,15
"i want to do it .
","es ist so einfach , ihnen zu helfen .
",5,8
"so , you have to be able to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> .
","wir wissen , dass mit 30 mehr als die hälfte der amerikaner verheiratet ist oder mit dem zukünftigen partner oder eine beziehung hat .
",33,23
"he said , "" <unk> . ""
","zwei flammen übereinander bedeuten "" heiß "" .
",6,7
"now , we 're going to do n't know that we 're going to do n't know about the world . </s> .
","es kam mir nie in den sinn , dass china gar nicht im zentrum der welt sein muss .
",22,18
"and they 're trying to help them , and they 're trying to help them .
","sie brauchen und unterstützer , um sie , ihr geschäft zu entwickeln und zu starten .
",15,15
"and that 's what is .
","vertrauen ist die reaktion .
",5,4
"and i 'm going to talk about what i 'm going to do is that i 'm going to do is the <unk> , the <unk> .
","und wenn wir das wort zuerst hören , verknüpfen wir diese assoziationen mit dem wort und ermöglichen es , das erinnerte später einfacher .
",26,23
"it 's a year .
","ein ganzes jahr lang .
",4,4
"and we 're going to do that we 're going to do .
","und um das zu tun , müssen wir drei dinge betrachten :
",12,11
"so we 're going to be able to be able to build . </s> .
","viele dieser systeme haben den effekt .
",14,6
"and then , you see , you see , you see , you see a <unk> , and you see a <unk> .
","hier in new york räumt die jeden tag ungefähr 11.000 tonnen müll und 2000 tonnen auf .
",22,16
"and we 're trying to do , and we 're trying to be able to be able to be able to be able to be able to be able to be able to make it .
","du musst keine bauen oder dir , um von dem einblick über die funktionsweise deines gedächtnisses profitieren zu können .
",35,19
"he said , "" </s> .
","sie war eine frau namens alex .
",5,6
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to the world .
","das dach , mein bei diesem projekt , gibt der gemeinde fast den raum zurück , der von dem bau eingenommen wird .
",32,22
"now , i 've been able to talk about a few years ago , and i 've been able to be able to be able to be able to be able to be able to the <unk> .
","er begann , hochzeiten mit blumen zu , gestaltete private gärten und geschäfte um die stadt herum und er arbeitet gerade an der gestaltung des ersten öffentlichen parks in seit 22 jahren .
",37,32
"now , i 'm going to talk about the united states in the united states .
","das war die größte in der geschichte der vereinigten staaten von amerika .
",15,12
"and i do n't know that i do n't know , but i do n't know that there are not going to be a lot of people who are going to be a lot of <unk> .
","sie sagte , sie würde gerne im bereich kunst arbeiten oder im entertainment , aber sie hätte sich noch nicht entschieden , deshalb hätte sie in den vergangenen jahren .
",36,29
"and i do n't know that you do n't know that you do n't know that you do n't know that you 're going to be able to be <unk> . </s> .
","wir reden über etwa 15 % der bevölkerung , oder 100 % , wenn man bedenkt , dass keiner das erwachsenenalter erreicht , ohne durch die 20er zu gehen .
",32,29
"now , we have a little bit .
","aber diese geschichte nimmt einen anderen lauf .
",7,7
"it 's called <unk> .
",".
",4,0
"i want to talk about it .
","das kriege ich hin , dachte ich mir .
",6,8
"and i do n't know , i do n't know , but i do n't want to do it . </s> .
","ich sagte ihm , "" ich bin zwar nicht britney , aber du könntest es mir beibringen .
",21,17
"it 's a <unk> .
","es war durchhaltevermögen .
",4,3
"and i do n't know , i do n't know , but i do n't know , but i do n't know , i do n't know , i do n't know what i do is .
","ich wusste nichts über beruflichen und keiner weiß , wie die zukunft der arbeit aussieht . aber ich weiß : erzeugt .
",36,21
"now , we 're going to be able to be able to be able to the world . </s> .
","er leidet unter und hat vermutlich das schlechteste gedächtnis der welt .
",19,11
"i do n't want to do it , but i do n't do it .
","wenn ihr euch jetzt nicht besser fühlt , dann weiß ich auch nicht .
",14,13
"and i said , "" i do n't know , "" i do n't know . ""
","in dem moment musste ich mich , um nicht zu sagen : "" ich "" .
",16,15
"and i do n't know , i do n't know , but i do n't know that you know , you know , you know , you know , you know , </s> .
","ich wuchs mit , und ellen auf , und all diese frauen hatten eines gemeinsam : sie waren .
",33,18
"and i do n't know that we do n't know , but we do n't know , but we do n't know , we do n't know , we do n't know .
","es sind nicht so viele wie die anzahl der frauen , die wir gerade erst in den kongress gewählt haben , also ist das gut .
",32,25
"you do n't know that you do n't know , you do n't have a <unk> .
","es stimmt : die hälfte der 20er ist oder gar nicht beschäftigt .
",16,12
"i do n't know what i do is . </s> .
","das eignet sich einfach nicht als propaganda . hab ich verstanden .
",10,11
"we do n't be able to be able to be able to be able to be able to be . </s> . </s> .
","es stimmt nicht , dass wir große probleme nicht mit technologien lösen können .
",23,13
"do you do you do you do it ?
","was schaffen sie nicht zu lernen ?
",8,6
"but i do n't have to do that .
","das lesen ist eigentlich nichts neues .
",8,6
"now , i 'm going to see that i 'm going to see , and i 'm going to see , and it 's going to see the <unk> .
","früher floss der direkt an vorbei , und während sich sein lauf änderte und sich in richtung westen , er die stadt .
",29,22
"he said , "" he said , he said , and he said , "" </s>
","ich durfte auf dem roten teppich neben susan und der laufen .
",15,11
"and they 're going to do , and they 're going to do that they 're going to do , and they 're going to do . </s> .
","es sind beziehungen zwischen menschen , und das , wann und ob der andere vertrauenswürdig ist .
",28,16
"i do n't know what you do is to do is what you do .
","ich sagte zu emma : die arbeitswelt , aber mach was .
",14,11
"i 'm going to talk about <unk> .
","park in new jersey ist meine heimatstadt .
",7,7
"thank you .
","vielen dank .
",2,2
"now , i 'm going to talk about <unk> .
","aber der beruf des , wir kennen bäcker .
",9,8
"and i 'm going to talk about the world , and i 'm going to go to the <unk> .
","vor einiger zeit begann ich , in öffentlichen schulen in chicago durchhaltevermögen zu unterrichten .
",19,14
"so , i had to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","angenommen du bist eingeladen , um hier bei ted einen vortrag zu halten und du möchtest ihn aus dem gedächtnis halten , genauso wie es getan hätte , wäre er zu vor 2 000 jahren eingeladen worden .
",47,37
"and i thought , "" well , "" well , "" well , "" well , "" well , "" well , "" what do i do you know ?
","wenn ich jetzt zu einem späteren zeitpunkt zu euch zurück komme und sage , "" weißt du noch das wort , das ich dir vor einiger zeit gesagt habe ?
",29,29
"and you do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to do it . </s> .
","es wirkt fast so , als ob man als junge ein tier ist und wenn man ein mädchen ist , sollte man besser seine mitbringen .
",40,25
"he said , "" well , he said , he said , he said , "" <unk> , "" <unk> . ""
","und wer da alles : der gute , der furchterregende tom , der verrückte , selbst .
",21,16
"you can do it .
","nehmen sie sich einen moment , sich zu bedanken .
",4,9
"it 's called <unk> .
","durchhaltevermögen ist .
",4,2
"so we 're going to do that we 're going to do that we 're going to do it .
","tatsächlich ist er nicht so einzigartig , es gibt wie diesen auf der ganzen welt .
",19,15
"and he said , "" well , "" well , "" well , "" well , "" well , "" what would you know , "" </s> ?
","sie war fast , als sie mich ansah und sagte : "" wer wird für mich da sein , wenn ich einen autounfall habe ?
",27,24
"but you do n't know that you do n't know , but you do n't have to be a little bit .
","wir alle wollen alternative energiequellen , die mithalten können . aber es existieren keine .
",21,14
"i 'm going to talk about a new york city , and i 'm going to go through a new york city .
","vor einigen jahren hat eine forschungsgruppe am university college london eine gruppe von ins labor gebracht .
",22,16
"you can be able to be able to be able to be able to be able to be able to be able to be able . </s> . </s>
","aber eigene worte von 1962 an der rice university geben einen besseren hinweis .
",28,13
"and you do n't know , you know , you do n't know , you do n't have a <unk> .
","stattdessen schaut er nach dingen , die seine frau , ohne es zu bemerken , tut , also verhalten .
",20,19
"and he said , "" well , he said , "" well , he said , and he said , and he said , and he said , you know , you know , you know , right ?
","nehmen sie in sich die geschichte auf , dass es die aufgabe eines männlichen helden ist , den mit gewalt zu besiegen und sich dann die belohnung abzuholen , welche eine frau ist , die keine freunde hat und nicht redet ?
",38,41
"it 's a little bit .
","und das wäre eine vernünftige reaktion .
",5,6
"i do n't want to do .
","ich konnte mir das niemals vorstellen .
",6,6
"this is a little bit .
","das ist eine methode .
",5,4
"and i 'm going to say , "" i 'm going to say , "" i 'm going to be a <unk> , i 'm going to be a <unk> .
","ich möchte mit ihnen über einen jungen mann sprechen , der an einem meiner meetings teilnahm : , ein .
",30,19
"and i 'm going to say , "" i 'm going to say , "" i 'm going to go .
","arbeit kam später , heiraten kam später , kinder kamen später , selbst der tod kam später .
",20,17
"how do you do you do it ?
","was könnten sie sonst erheben ?
",7,5
"that 's a little bit .
","aber es gab da ein problem .
",5,6
"i do n't do it .
","sie machen eigentlich gar nichts .
",5,5
"and he said , "" well , i do n't know , "" i do n't know , "" i do n't know , "" i do n't know , "" </s>
","wir standen draußen vor der und ed , dieser wunderbare , brillante , und etwas englische typ sagt zu mir , "" josh , du bist ein amerikanischer journalist .
",31,29
"it 's a <unk> .
","hier ist ein einfaches beispiel .
",4,5
"they 're going to do it .
","und wer das meiste geld verdienen würde .
",6,7
"i do n't want to do n't want to do n't want to do it .
","ich weiß , dass ich mich nie mehr einsam oder machtlos fühlen werde .
",15,13
""" </s> . ""
","einen "" japaner "" .
",3,4
"and i 'm going to do something that i 'm going to do that i want to do .
","heute beginne ich mit acht schriftzeichen , um ihnen zu zeigen , wie die methode funktioniert .
",18,16
"and i 'm going to say , "" well , "" i 'm going to talk about the world , "" </s>
","eine sagte einst zu mir : "" das problem ist , dass der papierkram länger dauert , als das baby auf die welt zu bringen . ""
",21,26
"we do n't do it .
","macht das nicht .
",5,3
"and we 're going to do , and we 're going to do , and we 're going to do , and we 're going to do , and we 're going to do it .
","nun , es gibt es einen großen unterschied zwischen diesen beiden filmen , sogar mehrere große unterschiede zwischen "" der zauberer von oz "" und all den filmen , die wir heute so schauen .
",35,34
"now , i was a few years ago , and it was a lot of <unk> , and it was a lot of <unk> , and it was a lot of <unk> , and it was <unk> . </s> .
","es gibt da eine erklärung aus dem silicon valley , wo man , dass in letzter zeit weniger ehrgeizige unternehmen gefördert wurden als in den jahren , in denen intel , microsoft , apple und finanziert wurden .
",39,37
"so what do you do you ?
","wäre ich terrorist geworden ?
",6,4
"and i do n't have to be able to be able to be able to be able to do it . </s> . </s> .
","ich habe freunde , die sehr in ihre eigene kompetenz vertrauen , aber diese überschätzen sie um einiges .
",24,18
"we do n't have to do it .
","dann ein ziel : wir sollten mehr vertrauen .
",7,8
"i 'm going to go .
","ich gab hausaufgaben auf .
",5,4
"and i do n't know , i do n't know that i do n't know , but i do n't have a <unk> .
","nachdem sie die kulturrevolution überlebt hatten , glaubten sie fest daran , dass der einzige weg zum glück ein sicherer und gut job sei .
",23,24
"thank you .
","ich hielt dagegen .
",2,3
"thank you .
","danke .
",2,1
"and it 's a lot of <unk> , and it 's a lot of <unk> , and it 's been <unk> .
","sozusagen wird den leuten , denen vor 20 jahren wurde , hauptsächlich journalisten und politikern , immer noch .
",21,18
"and i do n't know that i do n't know that i do n't know that you know , you know , you know , <unk> .
","warum gingen sie ? gesehen gingen sie , weil präsident kennedy den sowjets zeigen wollte , dass seine nation die besseren raketen hatte .
",26,23
"and i do n't do it . </s> .
","ich fand das alles einfach faszinierend und bin noch
",8,8
"and i could be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","ich hatte angst davor , dass ich mir den rest meines lebens nur ein glück zweiter wahl konnte .
",33,18
"and i 'm going to say , i 'm going to talk about my career .
","als ich in meinen 20ern war , hatte ich meine erste .
",15,11
"they do n't know that they do . </s> .
","die körper können nicht richtig werden .
",9,6
"and it 's a lot of <unk> , and it 's a lot of <unk> , and <unk> .
","bei buddha waren sie alle psychologischer natur : lust , furcht und soziale pflicht – interessant .
",18,16
"it 's a <unk> .
","kim kennen .
",4,2
"now , i 'm going to say that we 're going to see that we 're going to see in the <unk> . </s> .
","dies ist ein ratschlag , der auf die über 2 000 jahre alten lateinischen texte über das gedächtnis zurück geht .
",24,20
"and i think , i think that we 're going to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","der "" etwas geschah mit unserer fähigkeit , große probleme mit technologie zu lösen "" , ist zu einer geworden .
",35,20
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able
","aus diesem grund finde ich es wichtiger , dass architektur einfache , aber bezahlbare lösungen sucht , die die beziehung zwischen der gemeinschaft und der umwelt verstärken , und die darauf abzielen , natur und menschen zu verbinden .
",48,38
"now , we have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be .
","investoren hatte schon immer mühe , in technologien wie energie zu investieren , welche ein enormes erfordern und deren entwicklung lang und ist , und haben nie , niemals die entwicklung von technologien finanziert , die große probleme ohne unmittelbaren kommerziellen wert lösen .
",45,43
"how do you do you do you want to do you want to do you want ?
","wie lehre ich kindern eine solide arbeitsmoral ?
",16,7
"i do n't know , but i do n't want to do it .
","vielleicht weiß ich ja zufällig , dass sie nicht gut auto fährt .
",13,12
"and i 'm going to talk about the <unk> , and the <unk> . </s> .
","dann inspirierten mich diese schönen knöpfe an den kleidern frauen .
",15,10
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to help . </s> .
","bringen sie junge leute mit den ressourcen , die sie brauchen , in verbindung , geben sie ihnen die unterstützung , die sie benötigen , um ideen zu verwirklichen und sie werden für wachstum schaffen .
",44,35
"and i 'm going to talk about it , and i 'm going to talk about it , and i 'm going to do it .
","das war das einzige mal , dass mein vater je einen von mir sah , und ich widme diesen vortrag ihm zu gedenken .
",25,23
"and we 're trying to build the world , and we 're trying to the world .
","und seine geschichte wiederholt sich immer wieder in den urbanen gegenden rund um die welt .
",16,15
"and i do n't say , "" well , "" well , "" well , "" well , "" well , "" well , "" </s> . ""
","es war anfangs nicht einfach die bauunternehmer mit diesen ideen zu überzeugen , denn sie dachten : "" das ist keine shopping mall . das haben wir nicht bestellt . ""
",27,30
"i do n't have a few minutes .
","und merkten sich ganze gedichte in nur wenigen minuten .
",7,9
"thank you .
","vielen dank .
",2,2
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> . </s> .
","seit dem 5 . lebensjahr habe ich gelernt , jeden einzelnen strich für jedes in der richtigen abfolge zu zeichnen .
",39,20
"and then , you can see that you can see that you can see , you can see that you can see that you can see that you can see , you can see a day .
","ich kenne menschen , die diesen job mehrere jahre machten . deren körper sich noch immer an das gewicht , das sie ihrem körper , tonnen von müll jede woche zu tragen .
",36,32
"and i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> .
","sie nehmen sie zurück und geben mir das geld zurück , oder ein paar der socken in der gewünschten farbe .
",39,20
"now , we 're going to be able to be able to be able to be able to be able to be able to be able to be <unk> . </s> . </s> .
","wenn wir den alten kram nicht wegwerfen können , haben wir keinen platz für den neuen . die motoren der wirtschaft fangen an zu , wenn der konsum ist .
",33,29
"we can be able to be able to be able to be able to be able to be able to be able to do . </s> .
","wir sind auf uns selbst gestellt und die lösungen der zukunft werden schwieriger zu erreichen sein .
",26,16
"but i do n't know , i do n't know , but i think it 's a <unk> .
","ich bin zu der überzeugung gekommen , dass es nicht der einzige zweck eines ist , wahr zu werden .
",18,19
"and he said , he said , he said , he said , he said , and he said , he said , he said , he said , he said , he said , he said , he said , he was a <unk> .
","am tage nach dem 11 . september 2001 hörte ich den donner eines auf der straße , griff meinen kleinen sohn und rannte die treppen herunter und dort war ein mann , der seine fuhr , wie er es jeden mittwoch tut .
",45,42
"this is a <unk> .
","das ist etwas aus einem roman .
",4,6
"now , i 'm going to say that i 'm going to say that i 'm going to be a lot of <unk> <unk> <unk> .
","ich hatte seit meiner ersten patientin alex zu viel , um nur zuzusehen , wie jahrzehnt sich in .
",25,18
"it 's a little bit like this .
","deshalb ist instagram auch so erfolgreich .
",7,6
"and you do n't have to be able to be able to be able to be able to do it . </s> .
","er begann , motorräder an zu , die sie sich sonst nicht leisten könnten .
",22,14
"and i do n't know that i do n't know , but i do n't know , but i do n't want to do it .
","ich weiß , dass die dinge in den köpfen dieser leute passieren , aber ich habe keinen zugriff darauf .
",25,19
"i do n't have a little bit .
","aber ich bekam nie eine rolle .
",7,6
"and i 'm going to talk about it . </s> .
","das bin ich , wie ich auf meinem imaginären klavier spiele .
",10,11
"and i do n't know that you do n't know that you do n't have to be <unk> .
","ich würde versuchen , den mehr zu vertrauen , den aber nicht .
",18,12
"and he said , "" well , "" well , "" well , "" you do n't know , "" you do n't know , "" </s> . ""
","sie weinte oft in den sitzungen , aber dann sammelte sie sich und sagte : "" deine familie kannst du dir nicht aussuchen , aber deine freunde schon "" .
",28,29
"thank you .
","schaut mal .
",2,2
"thank you .
","gar nichts .
",2,2
"and then , i had to talk about my life , and i had to write my life , and my life .
","das war meine art und weise , um mich von dem schuldgefühl zu befreien und die beziehung zu meinen eltern zu erneuern .
",22,22
"thank you .
","und wir waren live !
",2,4
"and it 's not just a lot of the <unk> , but it 's not the <unk> , but it 's been <unk> .
","und den leuten , denen vor 20 jahren sehr vertraut wurde , wird immer noch sehr vertraut : richtern , krankenschwestern .
",23,21
"i do n't know , i do n't know what i do n't know .
","zeigt uns der roman den ausweg ? ich bin mir nicht sicher .
",14,12
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be used . </s> .
","wir leben in der heutigen zeit und ziehen unsere kinder in einer art spektakulären groß .
",33,15
"a group of people are sitting in a <unk> .
","in einem moment liegt auf einer anderen wellenlänge wie .
",9,9
"this is a <unk> in new york city , which is called <unk> .
","ich war des großen new jersey im national 2008 .
",13,9
"now , we 're going to be able to be able to be able to be able to be able to the world .
","am ende des tages hatten sie innovative lösungen für einige der größten herausforderungen ihrer stadt .
",23,15
"they do n't know , they do n't know , but they do n't have a <unk> .
","es ist nicht einfach . man muss es abschätzen . einfache reaktionen oder haltungen reichen nicht aus .
",17,17
"thank you .
","vielen dank .
",2,2
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> .
","über die letzten jahrzehnte haben wir versucht , bei allen möglichen einrichtungen und bei experten und einzurichten , die es uns leichter machen , ihre vertrauenswürdigkeit einzuschätzen .
",45,27
"i wanted to do something like this .
","also nahm ich einen job als an .
",7,7
"and we 're going to do that .
","sie sind die wächter der öffentlichen gesundheit .
",7,7
"it 's a <unk> , and it 's a <unk> , and it 's a <unk> , but it 's a <unk> .
","was man im 7 . schuljahr in mathe lernt , ist schon schwierig : rationale zahlen , , die fläche eines .
",22,21
"i do n't want to be a <unk> .
","aber mein traum war es , eine chinesische zu werden .
",8,10
"and they 're going to do , and they 're going to do that they 're going to be able to do . </s> .
","es bestärkt junge leute darin , die wirtschaftlichen chancen zu kreieren , die sie so verzweifelt suchen .
",24,17
"but it 's a little bit more interesting , but it 's a little bit more interesting .
","ok , das ist zwar leicht gesagt , aber macht keinen fehler , denn es geht um sehr viel .
",17,19
"and then , "" well , "" well , "" well , "" well , "" well , "" well , "" how do you know , "" </s> ? ""
","was wäre , wenn eifersucht wirklich nur ein problem wäre ? wenn es nur darum ginge , wie wir mit den anderen in beziehung "" liegen "" ?
",30,27
"i 'm going to go back to the <unk> .
","mein und ich gingen zur west point .
",9,7
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able
","die wichtigsten 200 ermöglichen ihnen , 40 % der einfachen literatur zu begreifen – genug um , und die grundidee bestimmter webseiten oder zeitungen zu verstehen .
",48,26
"a woman is sitting on her hand .
","ihm wird diese junge frau vorgestellt .
",7,6
"now , we 're not going to be able to be able to be able to be able to be <unk> . </s> .
","städtischer müll , woran wir denken , wenn wir über müll reden , macht drei prozent des nationalen aus .
",23,19
"it 's a <unk> . </s> .
","ja , am broadway . total verrückt .
",6,7
"and then , we had a <unk> , and we had a <unk> .
","eines tages kam emma sehr niedergeschlagen an und weinte fast die ganze stunde lang .
",13,14
"so this is a <unk> .
","aber eine fanden wir : yoga .
",5,6
"and i 'm going to tell you that i 'm going to say that i 'm going to talk about <unk> , and i 'm going to go to the <unk> .
","ich bat tausende schüler der unteren fragebögen zum durchhaltevermögen auszufüllen , und wartete dann über ein jahr , um zu sehen , wer den abschluss machte .
",31,26
"now , we 're going to go to the <unk> , the <unk> .
","die dürre verursachte die armut dieses dorfes und den .
",13,9
"and this is a little bit like this is a <unk> , and this is a <unk> .
","23 jahre bürgerkrieg haben das völlig zerstört , sodass das motorrad das beste ist .
",17,14
"and i do n't know , i do n't know , but i do n't know , but i do n't want to be a <unk> .
","so merkten sich römische redner ihre – nicht wort für wort , das verwirrt nämlich nur , sondern thema für thema .
",26,21
"but i do n't know that you do n't have to do n't know . </s> .
","was ich aber weiß ist , dass ihnen talent allein kein durchhaltevermögen gibt .
",16,13
"two people are standing in the water .
","das schriftzeichen links sind zwei berge übereinander .
",7,7
"i do n't know it .
","oh , yeah ! ihr seid alle unglaublich .
",5,8
"and i wanted to do it , and i wanted to do it to do it .
","er trifft diese dynamische gruppe junger leute und sie geben ihm eine chance .
",16,13
"and he said , "" well , he said , he said , he said , and he said , he said , he said , he said , he said he said , he said he said he said , </s>
","ich erinnere mich , wie er mir sagte , dass er , der einen hatte , arbeitslos und frustriert war , das perfekte ziel sei , mitglied bei und anderen zu werden .
",41,32
"and i do n't know , i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know , but i do n't know it .
","also er sich ein , und er hat sich den film , wie sich ein seine mutter , und ich glaube nicht , dass er verstanden hat , was da vor sich ging , aber er hat es ganz sicher in sich .
",41,42
"and they 're trying to do , and they 're trying to do , and they 're trying to use their <unk> .
","sie zufällig zu finden wäre das äquivalent dazu , die nadel im heuhaufen zu finden , mit verbundenen augen und .
",22,20
"and we 're going to do , and we 're going to do , and we 're going to do , and we 're going to do that we 're going to do it .
","er möchte einen ort erschaffen , wo familien und junge leute zusammen kommen und , wie er sagt , die schönen dinge des lebens genießen können .
",34,26
"we 're going to do it . </s> .
","so werden dinge im gedächtnis verankert .
",8,6
"and then , you know , you know , you know , you know , you know , you know , you know , you know , you know , you know , you know , <unk> . </s> .
","er legte eine außerhalb an und begann , tulpen und zu züchten , welche , wie er sagte , in dem klima überleben könnten .
",39,24
"and i 'm going to say , "" i 'm going to go .
","ich empfehle ihn ihnen allen . er ist im internet .
",13,10
"he said , "" well , he said , "" </s>
","ein mund , der sagt , wo es hinausgeht , steht für "" ausgang "" .
",10,15
"thank you .
","und dann tat ich es .
",2,5
"so we 're trying to make a little bit like a little bit .
","diese beiden beispiele haben einen gemeinsamen ansatz beim .
",13,8
"he said , "" he said , ""
","kein könig , keine "" abenteuer aus nacht "" .
",7,9
"you can see that you can see the <unk> .
","sie sind der , um eine vielzahl von schriftzeichen zu bilden .
",9,11
"and they 're going to do that they 're going to do , they 're going to get their <unk> .
","wenn man eine fremdsprache beherrscht , macht es auch spaß , die in zwei sprachen zu lesen .
",20,17
"and i wanted to do something that i wanted to be able to be able to be able to be able to be able to be able to be able to be able to do it .
","und so fing ich an , jeden morgen 15 bis 20 minuten , bevor ich mich mit meiner zeitung , irgend etwas auswendig zu lernen .
",36,25
"now , you know , you know , you know , you know , you know , right ?
","wer räumt hinter uns in rio auf ? oder in paris oder in london ?
",18,14
"and what is it , what is it , what is it , is it ?
","denken wir an , denken wir an gefühle . stimmt 's ?
",15,11
"and we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> . </s> .
","was wichtiger ist , wir verfügen über für junge ägypter , die in der ausgebildet werden , damit sie diejenigen sind , die genauso große entdeckungen machen können .
",38,28
"and it 's a <unk> , and it 's a <unk> , and it 's <unk> .
","kohle und erdgas sind günstiger als solarenergie und wind und erdöl ist billiger als .
",16,14
"and i do n't know what i want to do . </s> .
","die ärzte sagten , ich könne nie laufen , doch ich sitze hier vor euch .
",12,15
"and it 's a <unk> , and it 's a <unk> , and it 's a <unk> , and it 's a <unk> .
","ein paar und eine schutzbrille , die bis auf zwei kleine streifen abgedeckt wurde , weil ablenkung der größte feind des ist .
",23,22
"a group of people are looking at a building .
","und im nächsten moment liegen sie auf einer wellenlänge .
",9,9
"and they 're going to do that they 're going to do .
","vertrauen klug einzusetzen und zu verweigern sollte das ziel sein .
",12,10
"and they 're going to do , and they 're going to be able to help their <unk> .
","wir schlossen partnerschaften mit privatunternehmen und fragten , welche verkäufer ihre arbeitsstelle behalten
",18,12
"so we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s>
","dafür müssen wir uns an die literatur wenden , denn der roman ist das labor , in dem eifersucht in all ihren möglichen formen analysiert wurde .
",41,26
"we do n't have to do it . </s> .
","wir merken uns dinge besser , wenn wir aufpassen .
",9,9
"and we 're going to do it .
","sie funktionieren , weil sie uns zwingen zu arbeiten .
",7,9
"and i do n't know , i do n't know , but i do n't know , but i do n't know , i do n't know , i do n't know , i do n't know , i do n't want to do it .
","ich zur leiterin der , ich weinte , als hätte jemand meine katze erschossen , und fragte sie warum . sie sagte mir , sie , dass ich die stunts nicht hinkriegen würde .
",45,33
"and then , we 're not going to do n't know that we 're going to do n't know , but it 's going to do n't know , and it 's going to be <unk> .
","es gibt auch einige frauen , die neue geschichten für unsere kinder schreiben und so dreidimensional und wunderbar und auch sind , es sind immer noch .
",36,26
"how do you do you do it ?
","sind sie klüger als wir ?
",7,5
"and then , you know , you know , you know , you know , you know , you know , you know , <unk> <unk> . </s> .
","im klassischen chinesisch bedeutet es "" exil "" , weil chinesische kaiser ihre politischen feinde ins exil über die berge geschickt haben .
",28,22
"and i do n't know that i do n't want to be able to be able to be able to be able to be able to be able to the children .
","durchhaltevermögen zählt also nicht nur in und beim , sondern auch in der schule , besonders für kinder mit .
",31,19
"and we 're not going to be able to be able to be able to be able to be able to be able to be able to be able to be able to help . </s> .
","junge leute versprechen sich von der stadt , von ihren , möglichkeiten , arbeit , reichtum , aber junge leute haben keinen anteil am wohlstand ihrer städte .
",36,27
"and they 're going to do that . </s> .
","wir wissen , dass babys unter eifersucht leiden .
",9,8
"you can do it .
","sie stellten nur perfekte leute ein .
",4,6
"i had a little bit like this .
","zu jenem zeitpunkt hatte ich ebenfalls einen sohn .
",7,8
"and i did n't know that i did n't know , but i did n't know that i had to do it .
","also blieb ich eines tages etwas länger in der schule , viel länger , und hielt mich in der versteckt .
",22,20
"and we 're going to talk about what we 're going to do is that we 're going to do .
","obwohl es so tragisch war , bot er einblicke darin , wie viel unser gedächtnis uns zu dem macht , wer wir sind .
",20,23
"so what do you do you see ?
","ich überlegte auch : wie schließen wir das gebäude ?
",7,9
"we can do it . </s> .
","eifersucht mag informationen .
",6,3
"and he said , "" well , he said , he said , and he said , and he said , and he said , and he said , and he said , and he said , and he <unk> .
","zuerst möchte tom sie sein und haben , was sie haben , dann ist er sie und hat , was sie einst hatten , und sie sind wie vom erdboden verschwunden . er reagiert auf ihren namen , er trägt ihren schmuck , er ihr bankkonto .
",40,46
"we 're going to do that we 're going to be able to be able to be able to be able to be able to do it . </s> . </s> .
","wir werden nicht zum mars fliegen , weil jeder denkt , dass es hier auf der erde wichtigere dinge gibt , die getan werden müssen .
",31,25
"and i wanted to do it to do it .
","so begann ich , immer zwei bücher gleichzeitig zu lesen .
",9,10
"we 're trying to make a new way to make a new way to make a new way .
","es hat auch diese idee von öffentlichem raum , die den außenbereich nutzt , um aktivität zu schaffen .
",18,18
"we 're going to be able to be able to be able to be able to be able to do . </s> .
","diese technologien haben unsere moderne welt ermöglicht , uns aber gleichzeitig verändert .
",22,12
"and you can see that you can see it into a <unk> .
","öffnen sie ihren mund soweit wie möglich , bis er quadratisch ist .
",12,12
"a man is standing in front of paper . </s> .
","es winkt dir vom rücken eines pferdes aus zu .
",10,9
"and he said , "" well , "" </s> . ""
","wenn noch jemand dahinter steht , dann bedeutet es "" folgen "" .
",10,12
"and he said , "" well , "" well , "" i do n't know , ""
","wenn ein mensch seine arme weit ausstreckt , dann sagt dieser mensch : "" es war so ' groß ' . ""
",16,21
"so we 're looking at the brain .
","für uns ist die sonne die quelle des reichtums .
",7,9
